agent_type,backend_model,root_cause_category,root_cause_name,net_env,scenario_topo_size,session_id,in_tokens,out_tokens,steps,tool_calls,tool_errors,time_taken,llm_judge_relevance_score,llm_judge_correctness_score,llm_judge_efficiency_score,llm_judge_clarity_score,llm_judge_final_outcome_score,llm_judge_overall_score,detection_score,localization_accuracy,localization_precision,localization_recall,localization_f1,rca_accuracy,rca_precision,rca_recall,rca_f1,agent,triple
react,gpt-5,end_host_failure,host_incorrect_dns,ospf_enterprise_dhcp,m,403205849,43075,9924,5,15,0,197.65,4,4,3,5,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_dns', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_incorrect_dns,ospf_enterprise_dhcp,l,403210527,130279,12515,4,27,0,483.52,4,2,4,5,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_dns', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_incorrect_gateway,ospf_enterprise_dhcp,s,403211811,103097,24270,9,46,0,640.94,4,4,3,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_gateway', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_incorrect_gateway,ospf_enterprise_dhcp,m,403213104,65790,14181,6,36,0,429.46,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_incorrect_gateway', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_incorrect_gateway,ospf_enterprise_dhcp,l,403214205,141841,10437,5,20,0,331.03,4,2,4,5,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_gateway', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_incorrect_ip,ospf_enterprise_dhcp,s,403215221,36931,10197,5,24,0,192.46,3,4,3,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_ip', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_incorrect_ip,ospf_enterprise_dhcp,m,403215730,22562,6235,3,13,0,130.8,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_incorrect_ip', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_incorrect_ip,ospf_enterprise_dhcp,l,403220303,104263,12375,3,34,0,250.58,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_incorrect_ip', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_incorrect_netmask,ospf_enterprise_dhcp,s,406135020,96269,21953,10,36,0,419.09,4,3,4,5,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_netmask', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_incorrect_netmask,ospf_enterprise_dhcp,m,403221413,32065,8039,4,15,0,148.13,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_incorrect_netmask', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_incorrect_netmask,ospf_enterprise_dhcp,l,403222033,265116,20200,8,48,0,500.0,4,3,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_netmask', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_missing_ip,ospf_enterprise_dhcp,s,403223351,24630,10283,4,18,0,225.43,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_missing_ip', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_missing_ip,ospf_enterprise_dhcp,m,403223922,87537,16714,7,28,0,356.91,5,4,4,5,3,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_missing_ip', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_missing_ip,ospf_enterprise_dhcp,l,403224857,104643,7908,4,13,0,289.08,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_missing_ip', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,dhcp_service_down,ospf_enterprise_dhcp,s,403225808,34411,8202,6,17,0,250.54,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_service_down', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,dhcp_service_down,ospf_enterprise_dhcp,m,403230419,143309,15986,9,59,0,370.09,5,5,4,5,5,5,1.0,1.0,0.3333,1.0,0.5,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_service_down', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,dhcp_service_down,ospf_enterprise_dhcp,l,403231427,92643,6183,4,19,0,259.69,5,5,4,5,5,5,1.0,1.0,0.3333,1.0,0.5,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_service_down', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,dns_service_down,ospf_enterprise_dhcp,s,403232348,69616,19401,8,43,0,318.11,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_service_down', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,dns_service_down,ospf_enterprise_dhcp,m,403233106,73864,10903,6,58,0,218.68,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_service_down', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,dns_service_down,ospf_enterprise_dhcp,l,403233834,278289,15644,8,35,0,322.12,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_service_down', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,link_detach,ospf_enterprise_dhcp,s,403234848,37911,10325,5,22,0,144.03,5,3,4,5,3,4,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,ReAct (train),"('link_detach', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,link_detach,ospf_enterprise_dhcp,m,403235304,20176,6542,3,7,0,111.62,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('link_detach', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,link_detach,ospf_enterprise_dhcp,l,403235823,147169,9113,5,15,0,190.84,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('link_detach', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,link_down,ospf_enterprise_dhcp,s,404000609,91395,19302,9,34,0,279.19,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_down', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,link_down,ospf_enterprise_dhcp,m,404001241,89904,19046,8,38,0,339.49,4,4,4,5,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_down', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,link_down,ospf_enterprise_dhcp,l,404002214,434159,34132,9,52,0,719.17,4,2,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_down', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,link_flap,ospf_enterprise_dhcp,s,404003844,52161,16587,7,30,0,272.14,5,5,4,5,5,5,1.0,1.0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('link_flap', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,link_flap,ospf_enterprise_dhcp,m,404004508,39340,9153,5,12,0,203.7,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('link_flap', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,link_flap,ospf_enterprise_dhcp,l,404005219,139103,9722,5,13,0,197.3,5,4,5,5,3,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_flap', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,link_failure,link_fragmentation_disabled,ospf_enterprise_dhcp,s,404010030,63060,16623,7,37,0,236.61,5,5,4,5,2,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_fragmentation_disabled', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,link_failure,link_fragmentation_disabled,ospf_enterprise_dhcp,m,404010624,84784,18041,8,26,0,267.63,5,5,4,4,2,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_fragmentation_disabled', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,link_failure,link_fragmentation_disabled,ospf_enterprise_dhcp,l,404011421,176662,14573,6,25,0,342.42,5,5,4,5,3,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_fragmentation_disabled', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,arp_acl_block,ospf_enterprise_dhcp,s,404012409,104772,21087,10,27,0,318.89,5,4,3,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('arp_acl_block', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,arp_acl_block,ospf_enterprise_dhcp,m,404013126,107255,21039,10,22,0,417.07,5,5,3,2,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('arp_acl_block', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,arp_acl_block,ospf_enterprise_dhcp,l,404014157,337702,23219,10,29,0,498.93,5,5,4,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('arp_acl_block', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,dns_port_blocked,ospf_enterprise_dhcp,s,404015446,94377,17799,8,46,0,411.42,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_port_blocked', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,dns_port_blocked,ospf_enterprise_dhcp,m,404020327,192662,15559,9,49,0,337.39,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,0.5,ReAct (train),"('dns_port_blocked', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,dns_port_blocked,ospf_enterprise_dhcp,l,404021233,275486,14229,8,54,0,446.11,5,5,4,5,5,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_port_blocked', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,http_acl_block,ospf_enterprise_dhcp,s,404022452,150202,30830,10,62,0,557.41,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('http_acl_block', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,http_acl_block,ospf_enterprise_dhcp,m,404023602,110332,26012,10,44,0,441.92,5,5,4,3,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('http_acl_block', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,http_acl_block,ospf_enterprise_dhcp,l,406140234,354222,22829,10,61,0,601.39,5,5,4,5,5,5,1.0,1.0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('http_acl_block', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,icmp_acl_block,ospf_enterprise_dhcp,s,404025442,71936,13066,9,24,0,271.12,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('icmp_acl_block', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,icmp_acl_block,ospf_enterprise_dhcp,m,404030111,37040,10408,3,24,0,211.68,4,3,3,5,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('icmp_acl_block', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,icmp_acl_block,ospf_enterprise_dhcp,l,404030754,359992,26204,10,62,0,542.58,5,5,4,2,2,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('icmp_acl_block', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,ospf_acl_block,ospf_enterprise_dhcp,s,404032200,85102,18193,10,33,0,254.62,5,4,3,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('ospf_acl_block', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,ospf_acl_block,ospf_enterprise_dhcp,m,404032809,53817,14194,5,35,0,218.85,5,4,4,4,2,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('ospf_acl_block', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,ospf_acl_block,ospf_enterprise_dhcp,l,404033507,328273,31995,9,40,0,509.99,5,4,4,5,2,3,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,ReAct (train),"('ospf_acl_block', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,dhcp_missing_subnet,ospf_enterprise_dhcp,s,404034808,41691,8559,6,11,0,134.88,5,3,4,4,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('dhcp_missing_subnet', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,dhcp_missing_subnet,ospf_enterprise_dhcp,m,404035236,36117,8239,4,14,0,148.73,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_missing_subnet', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,dhcp_missing_subnet,ospf_enterprise_dhcp,l,404035845,235570,17656,6,38,0,340.67,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_missing_subnet', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,mac_address_conflict,ospf_enterprise_dhcp,s,404040854,39115,14259,6,23,0,244.36,3,4,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('mac_address_conflict', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,mac_address_conflict,ospf_enterprise_dhcp,m,404041458,71637,14481,7,28,0,261.23,3,2,3,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('mac_address_conflict', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,mac_address_conflict,ospf_enterprise_dhcp,l,404042305,205740,12974,7,15,0,318.86,2,2,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('mac_address_conflict', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,ospf_area_misconfiguration,ospf_enterprise_dhcp,s,404043251,97649,20574,10,29,0,373.12,4,5,4,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('ospf_area_misconfiguration', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,ospf_area_misconfiguration,ospf_enterprise_dhcp,m,404044105,178757,27372,10,56,0,507.35,5,5,3,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('ospf_area_misconfiguration', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,ospf_area_misconfiguration,ospf_enterprise_dhcp,l,404045256,223783,12735,7,31,0,308.3,3,4,3,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('ospf_area_misconfiguration', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,misconfiguration,ospf_neighbor_missing,ospf_enterprise_dhcp,s,404050256,44206,14710,6,27,0,244.88,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('ospf_neighbor_missing', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,misconfiguration,ospf_neighbor_missing,ospf_enterprise_dhcp,m,404050847,89480,14965,7,45,0,293.68,5,5,4,5,3,4,1.0,1.0,0.25,1.0,0.4,1.0,0.5,1.0,0.6667,ReAct (train),"('ospf_neighbor_missing', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,misconfiguration,ospf_neighbor_missing,ospf_enterprise_dhcp,l,404051712,198544,15026,6,31,0,303.97,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('ospf_neighbor_missing', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,network_node_error,frr_service_down,ospf_enterprise_dhcp,s,404052702,36611,9762,6,16,0,180.49,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('frr_service_down', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,network_node_error,frr_service_down,ospf_enterprise_dhcp,m,404053154,132127,18250,10,56,0,345.36,5,5,4,5,3,4,1.0,1.0,0.1667,1.0,0.2857,1.0,0.3333,1.0,0.5,ReAct (train),"('frr_service_down', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,network_node_error,frr_service_down,ospf_enterprise_dhcp,l,404054128,237409,13604,6,36,0,340.31,4,3,3,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('frr_service_down', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,network_under_attack,arp_cache_poisoning,ospf_enterprise_dhcp,s,404055141,41947,10725,6,22,0,224.35,3,3,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('arp_cache_poisoning', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,network_under_attack,arp_cache_poisoning,ospf_enterprise_dhcp,m,404055724,60387,14514,6,29,0,289.59,3,3,3,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('arp_cache_poisoning', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,network_under_attack,arp_cache_poisoning,ospf_enterprise_dhcp,l,404060550,249284,19416,7,43,0,420.21,2,3,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('arp_cache_poisoning', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,network_under_attack,dhcp_spoofed_dns,ospf_enterprise_dhcp,s,404061732,37722,9517,5,25,0,192.25,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,0.0,0.0,0.0,0.0,ReAct (train),"('dhcp_spoofed_dns', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,network_under_attack,dhcp_spoofed_dns,ospf_enterprise_dhcp,m,404062245,51262,9013,5,29,0,195.05,5,5,4,5,2,4,1.0,0.5,1.0,0.5,0.6667,0.0,0.0,0.0,0.0,ReAct (train),"('dhcp_spoofed_dns', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,network_under_attack,dhcp_spoofed_dns,ospf_enterprise_dhcp,l,404062944,248529,14093,8,28,0,364.9,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,0.0,0.0,0.0,0.0,ReAct (train),"('dhcp_spoofed_dns', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,network_under_attack,dhcp_spoofed_gateway,ospf_enterprise_dhcp,s,404064031,47503,9219,7,18,0,188.21,5,5,5,5,5,5,1.0,0.5,1.0,0.5,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_spoofed_gateway', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,network_under_attack,dhcp_spoofed_gateway,ospf_enterprise_dhcp,m,404064557,48931,8983,4,25,0,185.14,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,0.0,0.0,0.0,0.0,ReAct (train),"('dhcp_spoofed_gateway', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,network_under_attack,dhcp_spoofed_gateway,ospf_enterprise_dhcp,l,404065242,197613,11374,6,24,0,272.69,5,5,4,5,4,4,1.0,0.5,1.0,0.5,0.6667,1.0,1.0,1.0,1.0,ReAct (train),"('dhcp_spoofed_gateway', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,network_under_attack,web_dos_attack,ospf_enterprise_dhcp,s,404070157,18693,7163,3,27,0,172.72,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('web_dos_attack', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,network_under_attack,web_dos_attack,ospf_enterprise_dhcp,m,404070642,48647,11999,5,28,0,263.07,3,4,3,5,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('web_dos_attack', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,network_under_attack,web_dos_attack,ospf_enterprise_dhcp,l,404071448,190930,14168,5,39,0,425.64,4,5,4,4,2,3,1.0,1.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,ReAct (train),"('web_dos_attack', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,resource_contention,incast_traffic_network_limitation,ospf_enterprise_dhcp,s,404072648,24350,8433,4,20,0,189.09,5,4,4,5,3,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('incast_traffic_network_limitation', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,resource_contention,incast_traffic_network_limitation,ospf_enterprise_dhcp,m,404073204,95901,16291,8,32,0,311.32,5,5,4,5,2,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('incast_traffic_network_limitation', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,resource_contention,incast_traffic_network_limitation,ospf_enterprise_dhcp,l,404074102,71389,6529,3,21,0,202.25,5,5,4,5,3,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ReAct (train),"('incast_traffic_network_limitation', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,resource_contention,link_bandwidth_throttling,ospf_enterprise_dhcp,s,404074925,60830,15036,7,36,0,340.51,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('link_bandwidth_throttling', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,resource_contention,link_bandwidth_throttling,ospf_enterprise_dhcp,m,404075706,190325,27011,10,91,0,502.13,4,4,2,1,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('link_bandwidth_throttling', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,resource_contention,link_bandwidth_throttling,ospf_enterprise_dhcp,l,404080941,301936,22503,9,40,0,417.73,3,3,3,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('link_bandwidth_throttling', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,resource_contention,link_high_packet_corruption,ospf_enterprise_dhcp,s,404082136,34581,9964,5,22,0,207.72,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('link_high_packet_corruption', 'ospf_enterprise_dhcp', 's')"
